head,relation,tail,label
DB06589,CELL_DRUG,EoL-1-cell,1
DB03010,CELL_DRUG,MC-CAR,1
DB03010,CELL_DRUG,PFSK-1,1
DB03010,CELL_DRUG,A673,1
DB03010,CELL_DRUG,ES3,1
DB03010,CELL_DRUG,ES7,1
DB03010,CELL_DRUG,EW-11,1
DB03010,CELL_DRUG,SK-ES-1,1
DB03010,CELL_DRUG,5637,1
DB03010,CELL_DRUG,RT4,1
DB03010,CELL_DRUG,TCCSUP,1
DB03010,CELL_DRUG,C-33-A,1
DB03010,CELL_DRUG,C-4-I,1
DB03010,CELL_DRUG,ME-180,1
DB03010,CELL_DRUG,42-MG-BA,1
DB03010,CELL_DRUG,8-MG-BA,1
DB03010,CELL_DRUG,A172,1
DB03010,CELL_DRUG,GB-1,1
DB03010,CELL_DRUG,T98G,1
DB03010,CELL_DRUG,U-118-MG,1
DB03010,CELL_DRUG,U-87-MG,1
DB03010,CELL_DRUG,YKG-1,1
DB03010,CELL_DRUG,ChaGo-K-1,1
DB03010,CELL_DRUG,Calu-3,1
DB03010,CELL_DRUG,COR-L23,1
DB03010,CELL_DRUG,LK-2,1
DB03010,CELL_DRUG,NCI-H1437,1
DB03010,CELL_DRUG,NCI-H1623,1
DB03010,CELL_DRUG,NCI-H1648,1
DB03010,CELL_DRUG,NCI-H1770,1
DB03010,CELL_DRUG,NCI-H2085,1
DB03010,CELL_DRUG,NCI-H2170,1
DB03010,CELL_DRUG,NCI-H2228,1
DB03010,CELL_DRUG,NCI-H2342,1
DB03010,CELL_DRUG,NCI-H2347,1
DB03010,CELL_DRUG,NCI-H2405,1
DB03010,CELL_DRUG,NCI-H661,1
DB03010,CELL_DRUG,DMS-273,1
DB03010,CELL_DRUG,NCI-H1048,1
DB03010,CELL_DRUG,NCI-H1417,1
DB03010,CELL_DRUG,NCI-H1694,1
DB03010,CELL_DRUG,NCI-H1963,1
DB03010,CELL_DRUG,NCI-H209,1
DB03010,CELL_DRUG,NCI-H2141,1
DB03010,CELL_DRUG,NCI-H2171,1
DB03010,CELL_DRUG,NCI-H446,1
DB03010,CELL_DRUG,NCI-H526,1
DB03010,CELL_DRUG,NCI-H64,1
DB03010,CELL_DRUG,NCI-H69,1
DB03010,CELL_DRUG,NCI-H82,1
DB03010,CELL_DRUG,SK-N-DZ,1
DB03010,CELL_DRUG,VA-ES-BJ,1
DB03010,CELL_DRUG,SBC-5,1
DB03010,CELL_DRUG,LU-135,1
DB03010,CELL_DRUG,SK-N-SH,1
DB03010,CELL_DRUG,NCI-H2030,1
DB03010,CELL_DRUG,NCI-H2122,1
DB03010,CELL_DRUG,NCI-H1734,1
DB03010,CELL_DRUG,NCI-H650,1
DB03010,CELL_DRUG,T24,1
DB03010,CELL_DRUG,NCI-H1299,1
DB03010,CELL_DRUG,NCI-H2087,1
