,head,relation,tail,label
9,DB03010,CELL_DRUG,RT4,1
10,DB03010,CELL_DRUG,TCCSUP,1
62,DB03010,CELL_DRUG,UM-UC-3,1
105,DB03010,CELL_DRUG,J82,1
118,DB03010,CELL_DRUG,LB831-BLC,1
197,DB03010,CELL_DRUG,647-V,1
198,DB03010,CELL_DRUG,639-V,1
264,DB03010,CELL_DRUG,HT-1197,1
380,DB03010,CELL_DRUG,RT-112,1
409,DB03010,CELL_DRUG,SW1710,1
427,DB03010,CELL_DRUG,VM-CUB-1,1
483,DB03010,CELL_DRUG,BFTC-905,1
641,DB03010,CELL_DRUG,CAL-29,1
800,DB11963,CELL_DRUG,DSH1,1
900,DB06603,CELL_DRUG,TCCSUP,1
941,DB06603,CELL_DRUG,DSH1,1
1002,DB06603,CELL_DRUG,647-V,1
1040,DB06603,CELL_DRUG,HT-1197,1
1063,DB06603,CELL_DRUG,KU-19-19,1
1122,DB06603,CELL_DRUG,RT-112,1
1186,DB06603,CELL_DRUG,BFTC-905,1
1289,DB06603,CELL_DRUG,CAL-29,1
1744,DB06287,CELL_DRUG,SW780,1
1753,DB06287,CELL_DRUG,UM-UC-3,1
1841,DB06287,CELL_DRUG,RT-112,1
1846,DB06287,CELL_DRUG,SW1710,1
1854,DB06287,CELL_DRUG,VM-CUB-1,1
1915,DB06287,CELL_DRUG,CAL-29,1
2001,DB05134,CELL_DRUG,SW780,1
2005,DB05134,CELL_DRUG,DSH1,1
2043,DB05134,CELL_DRUG,VM-CUB-1,1
2074,DB05134,CELL_DRUG,CAL-29,1
2259,DB00997,CELL_DRUG,647-V,1
2294,DB00997,CELL_DRUG,KU-19-19,1
2334,DB00997,CELL_DRUG,VM-CUB-1,1
2377,DB00997,CELL_DRUG,CAL-29,1
2528,DB04690,CELL_DRUG,UM-UC-3,1
2535,DB04690,CELL_DRUG,DSH1,1
2569,DB04690,CELL_DRUG,647-V,1
2570,DB04690,CELL_DRUG,639-V,1
2619,DB04690,CELL_DRUG,KU-19-19,1
2679,DB04690,CELL_DRUG,VM-CUB-1,1
2698,DB04690,CELL_DRUG,BFTC-905,1
2754,DB04690,CELL_DRUG,CAL-29,1
2806,DB00570,CELL_DRUG,RT4,1
2837,DB00570,CELL_DRUG,UM-UC-3,1
2917,DB00570,CELL_DRUG,639-V,1
2983,DB00570,CELL_DRUG,KU-19-19,1
3052,DB00570,CELL_DRUG,RT-112,1
3069,DB00570,CELL_DRUG,SW1710,1
3081,DB00570,CELL_DRUG,VM-CUB-1,1
3110,DB00570,CELL_DRUG,BFTC-905,1
3200,DB00570,CELL_DRUG,CAL-29,1
3341,DB01248,CELL_DRUG,RT4,1
3342,DB01248,CELL_DRUG,SW780,1
3343,DB01248,CELL_DRUG,TCCSUP,1
3389,DB01248,CELL_DRUG,UM-UC-3,1
3419,DB01248,CELL_DRUG,LB831-BLC,1
3477,DB01248,CELL_DRUG,647-V,1
3478,DB01248,CELL_DRUG,639-V,1
3551,DB01248,CELL_DRUG,KU-19-19,1
3628,DB01248,CELL_DRUG,RT-112,1
3650,DB01248,CELL_DRUG,SW1710,1
3663,DB01248,CELL_DRUG,VM-CUB-1,1
3701,DB01248,CELL_DRUG,BFTC-905,1
3823,DB01248,CELL_DRUG,CAL-29,1
4000,DB02010,CELL_DRUG,LB831-BLC,1
4039,DB02010,CELL_DRUG,647-V,1
4097,DB02010,CELL_DRUG,KU-19-19,1
4167,DB02010,CELL_DRUG,SW1710,1
4205,DB02010,CELL_DRUG,BFTC-905,1
4434,DB01229,CELL_DRUG,RT4,1
4460,DB01229,CELL_DRUG,UM-UC-3,1
4482,DB01229,CELL_DRUG,LB831-BLC,1
4524,DB01229,CELL_DRUG,639-V,1
4582,DB01229,CELL_DRUG,KU-19-19,1
4640,DB01229,CELL_DRUG,RT-112,1
4654,DB01229,CELL_DRUG,SW1710,1
4662,DB01229,CELL_DRUG,VM-CUB-1,1
4689,DB01229,CELL_DRUG,BFTC-905,1
4759,DB01229,CELL_DRUG,CAL-29,1
4811,DB00877,CELL_DRUG,RT4,1
4831,DB00877,CELL_DRUG,DSH1,1
4836,DB00877,CELL_DRUG,J82,1
4947,DB00877,CELL_DRUG,VM-CUB-1,1
4965,DB00877,CELL_DRUG,BFTC-905,1
5006,DB00877,CELL_DRUG,CAL-29,1
5048,DB00441,CELL_DRUG,RT4,1
5064,DB00441,CELL_DRUG,DSH1,1
5084,DB00441,CELL_DRUG,647-V,1
5085,DB00441,CELL_DRUG,639-V,1
5124,DB00441,CELL_DRUG,KU-19-19,1
5167,DB00441,CELL_DRUG,VM-CUB-1,1
5181,DB00441,CELL_DRUG,BFTC-905,1
5218,DB00441,CELL_DRUG,CAL-29,1
5309,DB00188,CELL_DRUG,RT4,1
5310,DB00188,CELL_DRUG,SW780,1
5311,DB00188,CELL_DRUG,TCCSUP,1
5363,DB00188,CELL_DRUG,UM-UC-3,1
5381,DB00188,CELL_DRUG,DSH1,1
5389,DB00188,CELL_DRUG,J82,1
5397,DB00188,CELL_DRUG,LB831-BLC,1
5461,DB00188,CELL_DRUG,647-V,1
5462,DB00188,CELL_DRUG,639-V,1
5515,DB00188,CELL_DRUG,HT-1197,1
5516,DB00188,CELL_DRUG,HT-1376,1
5549,DB00188,CELL_DRUG,KU-19-19,1
5635,DB00188,CELL_DRUG,RT-112,1
5659,DB00188,CELL_DRUG,SW1710,1
5676,DB00188,CELL_DRUG,VM-CUB-1,1
5724,DB00188,CELL_DRUG,BFTC-905,1
5855,DB00188,CELL_DRUG,CAL-29,1
5983,DB12731,CELL_DRUG,UM-UC-3,1
5993,DB12731,CELL_DRUG,DSH1,1
6000,DB12731,CELL_DRUG,LB831-BLC,1
6061,DB12731,CELL_DRUG,HT-1376,1
6119,DB12731,CELL_DRUG,RT-112,1
6136,DB12731,CELL_DRUG,SW1710,1
6145,DB12731,CELL_DRUG,VM-CUB-1,1
6168,DB12731,CELL_DRUG,BFTC-905,1
6323,DB08911,CELL_DRUG,KU-19-19,1
6333,DB08911,CELL_DRUG,BFTC-905,1
6571,DB00970,CELL_DRUG,DSH1,1
6607,DB00970,CELL_DRUG,639-V,1
6657,DB00970,CELL_DRUG,KU-19-19,1
6712,DB00970,CELL_DRUG,VM-CUB-1,1
6730,DB00970,CELL_DRUG,BFTC-905,1
6918,DB00541,CELL_DRUG,KU-19-19,1
